model,condition,level,reuse_class,count,total,percentage,pass_rate,n
LongCat-2.0,distractor,L1,adapted_reuse,177,450,39.333,23.729,177
LongCat-2.0,distractor,L1,direct_reuse,82,450,18.222,6.098,82
LongCat-2.0,distractor,L1,distractor_error_inheritance,146,450,32.444,0.000,146
LongCat-2.0,distractor,L1,independent_solution,45,450,10.000,15.556,45
LongCat-2.0,distractor,L2,adapted_reuse,106,450,23.556,4.717,106
LongCat-2.0,distractor,L2,direct_reuse,15,450,3.333,0.000,15
LongCat-2.0,distractor,L2,distractor_error_inheritance,261,450,58.000,0.000,261
LongCat-2.0,distractor,L2,independent_solution,68,450,15.111,10.294,68
LongCat-2.0,distractor,L3,adapted_reuse,77,450,17.111,5.195,77
LongCat-2.0,distractor,L3,direct_reuse,17,450,3.778,0.000,17
LongCat-2.0,distractor,L3,distractor_error_inheritance,315,450,70.000,0.000,315
LongCat-2.0,distractor,L3,independent_solution,41,450,9.111,0.000,41
LongCat-2.0,distractor_reminder_mild,L1,adapted_reuse,62,150,41.333,29.032,62
LongCat-2.0,distractor_reminder_mild,L1,direct_reuse,13,150,8.667,0.000,13
LongCat-2.0,distractor_reminder_mild,L1,distractor_error_inheritance,37,150,24.667,0.000,37
LongCat-2.0,distractor_reminder_mild,L1,independent_solution,38,150,25.333,13.158,38
LongCat-2.0,distractor_reminder_mild,L2,adapted_reuse,60,150,40.000,15.000,60
LongCat-2.0,distractor_reminder_mild,L2,direct_reuse,4,150,2.667,0.000,4
LongCat-2.0,distractor_reminder_mild,L2,distractor_error_inheritance,42,150,28.000,0.000,42
LongCat-2.0,distractor_reminder_mild,L2,independent_solution,44,150,29.333,9.091,44
LongCat-2.0,distractor_reminder_mild,L3,adapted_reuse,39,150,26.000,5.128,39
LongCat-2.0,distractor_reminder_mild,L3,direct_reuse,5,150,3.333,0.000,5
LongCat-2.0,distractor_reminder_mild,L3,distractor_error_inheritance,61,150,40.667,0.000,61
LongCat-2.0,distractor_reminder_mild,L3,independent_solution,45,150,30.000,0.000,45
LongCat-2.0,distractor_reminder_strong,L1,adapted_reuse,58,150,38.667,24.138,58
LongCat-2.0,distractor_reminder_strong,L1,direct_reuse,17,150,11.333,0.000,17
LongCat-2.0,distractor_reminder_strong,L1,distractor_error_inheritance,50,150,33.333,0.000,50
LongCat-2.0,distractor_reminder_strong,L1,independent_solution,25,150,16.667,8.000,25
LongCat-2.0,distractor_reminder_strong,L2,adapted_reuse,36,150,24.000,8.333,36
LongCat-2.0,distractor_reminder_strong,L2,distractor_error_inheritance,76,150,50.667,0.000,76
LongCat-2.0,distractor_reminder_strong,L2,independent_solution,38,150,25.333,0.000,38
LongCat-2.0,distractor_reminder_strong,L3,adapted_reuse,32,150,21.333,6.250,32
LongCat-2.0,distractor_reminder_strong,L3,direct_reuse,6,150,4.000,0.000,6
LongCat-2.0,distractor_reminder_strong,L3,distractor_error_inheritance,89,150,59.333,0.000,89
LongCat-2.0,distractor_reminder_strong,L3,independent_solution,23,150,15.333,0.000,23
LongCat-2.0,gold,L1,adapted_reuse,342,450,76.000,50.000,342
LongCat-2.0,gold,L1,direct_reuse,78,450,17.333,34.615,78
LongCat-2.0,gold,L1,independent_solution,30,450,6.667,23.333,30
LongCat-2.0,gold,L2,adapted_reuse,430,450,95.556,30.930,430
LongCat-2.0,gold,L2,direct_reuse,7,450,1.556,0.000,7
LongCat-2.0,gold,L2,independent_solution,13,450,2.889,0.000,13
LongCat-2.0,gold,L3,adapted_reuse,408,450,90.667,12.500,408
LongCat-2.0,gold,L3,direct_reuse,20,450,4.444,70.000,20
LongCat-2.0,gold,L3,independent_solution,22,450,4.889,0.000,22
LongCat-2.0,naive,L1,adapted_reuse,359,450,79.778,44.847,359
LongCat-2.0,naive,L1,direct_reuse,22,450,4.889,36.364,22
LongCat-2.0,naive,L1,independent_solution,69,450,15.333,72.464,69
LongCat-2.0,naive,L2,adapted_reuse,428,450,95.111,23.364,428
LongCat-2.0,naive,L2,direct_reuse,4,450,0.889,0.000,4
LongCat-2.0,naive,L2,independent_solution,18,450,4.000,5.556,18
LongCat-2.0,naive,L3,adapted_reuse,371,450,82.444,16.173,371
LongCat-2.0,naive,L3,direct_reuse,5,450,1.111,60.000,5
LongCat-2.0,naive,L3,independent_solution,74,450,16.444,14.865,74
LongCat-2.0,no,L1,independent_solution,450,450,100.000,7.333,450
LongCat-2.0,no,L2,independent_solution,450,450,100.000,3.556,450
LongCat-2.0,no,L3,independent_solution,450,450,100.000,0.889,450
